Brand,Size,Description,units_sold,revenue,cogs,excise_tax,gross_profit,net_profit,gross_margin_pct,net_margin_pct,has_missing_cost
8090,750mL,Russian Standard Gold Vodka,37,1109.63,1205.09,29.18,-95.46,-124.64,-8.6,-11.23,false
47049,750mL,Argiola Turriga 05 Isola Nur,30,794.7,910.2,3.32,-115.5,-118.82,-14.53,-14.95,false
4190,750mL,Boca Loca Cachaca,536,10766.64,10462.72,422.37,303.92,-118.45,2.82,-1.1,false
21180,750mL,Amapola Creek Chard RR 14,30,551.7,648.3,3.33,-96.6,-99.93,-17.51,-18.11,false
22327,750mL,Saved Rose,99,1388.01,1468.17,11.04,-80.16,-91.2,-5.78,-6.57,false
18268,750mL,Caprai Montefalco Rosso 09,68,813.32,894.2,7.54,-80.88,-88.42,-9.94,-10.87,false
41529,750mL,Artesa Elements Napa Red,67,744.33,820.75,7.5,-76.42,-83.92,-10.27,-11.27,false
22477,750mL,Mionetto IL Moscato,94,747.06,798.06,10.46,-51.0,-61.46,-6.83,-8.23,false
6198,750mL,Lazzaroni Sambuca,189,3778.11,3689.28,149.1,88.83,-60.27,2.35,-1.6,false
38314,750mL,Momokawa Silver Sake,96,899.04,946.56,10.77,-47.52,-58.29,-5.29,-6.48,false
2621,750mL,Silo Bourbon,42,2137.58,2162.58,33.12,-25.0,-58.12,-1.17,-2.72,false
8459,750mL,Pardiac VS French Brandy,100,1305.0,1279.0,78.91,26.0,-52.91,1.99,-4.05,false
23032,750mL,Zenato Cresasso,43,2149.57,2193.43,4.76,-43.86,-48.62,-2.04,-2.26,false
19845,750mL,The Rule Cab Svgn Napa Vly,380,5026.2,5031.2,42.49,-5.0,-47.49,-0.1,-0.94,false
2525,750mL,Bird Dog Kentucky Whiskey,1437,19684.63,18594.78,1132.8,1089.85,-42.95,5.54,-0.22,false
22663,750mL,Iron Horse Ocean Rsv Nationa,29,779.71,808.52,3.22,-28.81,-32.03,-3.69,-4.11,false
4884,750mL,Bayou Silver Rum,353,5724.47,5471.5,278.51,252.97,-25.54,4.42,-0.45,false
4904,750mL,Bayou Spiced Rum,458,7391.42,7044.04,361.13,347.38,-13.75,4.7,-0.19,false
24591,750mL,Dominios Ribera del Duero Cr,219,2132.81,2117.73,24.37,15.08,-9.29,0.71,-0.44,false
